Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
409,Super Crooks,"Action, Sci-Fi, Thriller",Animated Series,Japanese,1,,7.5,,,,7.5
402,Viral Hit - Season 1,"Drama, Comedy, Action, Crime",Animated Movie,Japanese,,,7.5,,,,7.5
400,Locke and Key,"Drama, Fantasy, Horror, Thriller",Series,English,3,,8,,,,8
399,King's Avatar,"Drama, Comedy, Action, Sci-Fi",Series,Chinese,2,,8,,,,8
398,Shadow and Bone,"Drama, Adventure, Fantasy",Series,English,2,,8,,,,8
397,Weak Hero,"Drama, Life, Thriller",Series,Korean,1,,8,,,,8
396,Berserk of Gluttony,"Action, Fantasy, Magic, SuperPowers",Animated Series,Japanese,1,,7,,,,7
395,Farming Life in Another Life,"Drama, Comedy, Life, Feel Good, Fantasy, Magic",Animated Series,Japanese,1,,7,,,,7
394,Parallel World Pharmacy,"Drama, Feel Good, Action, Magic, Isekai",Animated Series,Japanese,1,,7,,,,7
393,Reincarnated as a sword,"Action, Fantasy, Magic, Isekai",Animated Series,Japanese,1,,7,,,,7
386,I Parry Everything,"Comedy, Action, Fantasy, Gods & Demons, Magic",Animated Series,Japanese,1,,6.5,,,,6.5
385,Mysterious Disappearances ,"Drama, Fantasy, Thriller, Mystery, History, Magic",Animated Series,Japanese,1,,6.5,,,,6.5
382,Campfire Cooking in another world with my absurd skill,"Comedy, Feel Good, Fantasy, Magic, Isekai",Animated Series,Japanese,1,,6,,,,6
376,Revolution,"Drama, Adventure, Sci-Fi",Series,English,2,,7,,,,7
375,Selection Day,"Drama, Sports",Series,Hindi,2,,,,7,,7
374,The Silent Sea,"Sci-Fi, Crime, Thriller, Mystery",Series,Korean,1,,7,,,,7
